Timestamp,Lx,Ly,Lz,LqX,LqY,LqZ,LqW,Rx,Ry,Rz,RqX,RqY,RqZ,RqWGx,Gy,Gz,Glx,Gly,Glz,Gf,Lpd,Rpd
1455,-0.133292,-0.4301186,0.1776991,-0.02559115,-0.08778547,-0.07009274,0.9933407,0.04260865,-0.4649147,0.4447184,0.03717669,-0.02740398,0.1309479,0.9903129,0.01760149,0.04362774,-0.05863571,0.03344874,-0.6676472,0.7437261,0.5038201,3.861967,3.550679
1476,-0.1331441,-0.4303372,0.177949,-0.02479929,-0.08749855,-0.070496,0.9933576,0.04403058,-0.4632506,0.444768,0.03414585,-0.02663324,0.1313637,0.990388,0.01707572,0.04325271,-0.05832577,0.0359209,-0.6691743,0.7422369,0.4929758,3.927648,3.55794
1509,-0.1328813,-0.4302783,0.1782379,-0.02367872,-0.08711738,-0.06967564,0.9934763,0.04666486,-0.4606354,0.4445152,0.03263177,-0.02391406,0.1325936,0.9903445,0.01623288,0.04303861,-0.05768299,0.04124686,-0.6642109,0.7464064,0.4359275,4.017698,3.56835
1532,-0.1325948,-0.4300979,0.1783361,-0.02395212,-0.08649305,-0.06929957,0.9935507,0.04856041,-0.4587028,0.4445124,0.03105688,-0.02292151,0.1310543,0.9906235,0.0156621,0.04292393,-0.05726147,0.04441907,-0.6587417,0.7510568,2,0,3.573301
1554,-0.132329,-0.4296573,0.1783991,-0.02540499,-0.08561644,-0.06984325,0.9935524,0.0501844,-0.4563471,0.4444904,0.02746614,-0.02420151,0.1301667,0.9908161,0.01501864,0.04282725,-0.05685711,0.04916048,-0.6608945,0.7488669,0.4502262,3.721153,3.578502
1577,-0.1319034,-0.4295076,0.1785431,-0.026315,-0.08507524,-0.07058334,0.9935229,0.05200532,-0.4534675,0.4444704,0.02174787,-0.02494992,0.1286096,0.9911429,0.01428896,0.04280114,-0.056427,0.04422,-0.6568868,0.7526914,0.4081292,3.636627,3.589769
1599,-0.1315418,-0.4296097,0.1787777,-0.02635935,-0.08457575,-0.07121421,0.9935194,0.05454746,-0.4508247,0.4443808,0.01656016,-0.02321436,0.1256768,0.9916614,0.01341289,0.04300666,-0.05584049,0.04597585,-0.6583949,0.7512671,2,0,3.611921
1632,-0.1306911,-0.4303319,0.1790571,-0.02507392,-0.08369246,-0.07127269,0.9936233,0.05980316,-0.4478637,0.4445791,0.01361881,-0.01802124,0.1212055,0.9923704,0.0118086,0.04306865,-0.05520058,0.04389588,-0.6589615,0.7508948,2,0,3.643476
1654,-0.1302659,-0.4306746,0.1792936,-0.02365031,-0.0831851,-0.07096781,0.9937226,0.06352654,-0.446471,0.4443998,0.01290086,-0.01421296,0.1215713,0.9923971,0.01050895,0.04299343,-0.05492401,0.036571,-0.653102,0.7563864,2,0,3.621788
1675,-0.1297975,-0.4306189,0.179677,-0.02315516,-0.08223913,-0.07079004,0.9938256,0.0675098,-0.4450587,0.4445744,0.01127076,-0.01060698,0.1195551,0.992707,0.009459585,0.04316962,-0.05453777,0.03153542,-0.6438762,0.7644796,2,0,3.693804
1709,-0.1286572,-0.4303483,0.1801996,-0.02397808,-0.07989832,-0.07116376,0.9939703,0.07332745,-0.4430195,0.444603,0.009182677,-0.006735229,0.1218596,0.9924821,0.007941872,0.04340768,-0.05407333,0.06699681,-0.6556731,0.7520667,0.5130837,3.866141,3.637188
1731,-0.1277231,-0.4301872,0.1803627,-0.02456297,-0.07853925,-0.07166109,0.9940287,0.07723847,-0.4415677,0.4444294,0.007887792,-0.003614153,0.1224444,0.9924375,0.007154614,0.04349589,-0.05388546,0.07714256,-0.6598636,0.7474149,0.5464494,3.98384,3.703858
1753,-0.1266786,-0.4300754,0.1803207,-0.02517753,-0.07727411,-0.0712797,0.9941399,0.08149257,-0.4400156,0.4442139,0.006123235,-7.190946E-05,0.1205125,0.9926929,0.006441057,0.04359984,-0.05379295,0.08407237,-0.6614519,0.7452604,0.5721543,3.91311,3.693685
1777,-0.1258033,-0.429657,0.1804676,-0.02617609,-0.07564816,-0.07030548,0.9943085,0.08587876,-0.4385599,0.4438534,0.004558737,0.002565176,0.1199374,0.9927677,0.005961865,0.04371035,-0.05369759,0.09293724,-0.6607376,0.7448412,0.5688252,3.99425,3.704902
1817,-0.1242574,-0.4296355,0.1808805,-0.0262075,-0.07323251,-0.07052223,0.9944732,0.09442702,-0.435756,0.4435968,0.001868755,0.01002156,0.12033,0.9926816,0.005257785,0.04370081,-0.05362988,0.1015883,-0.661032,0.743449,0.5842934,4.000446,3.676366
1827,-0.1239541,-0.4297268,0.1809626,-0.02596409,-0.072852,-0.07042217,0.9945146,0.09653869,-0.4350824,0.4434872,0.001028895,0.01228294,0.1202071,0.9926723,0.005187005,0.04368711,-0.05364609,0.1086594,-0.6596286,0.7436957,0.5370231,3.971421,3.672344
1855,-0.1232142,-0.4300854,0.1811724,-0.02551107,-0.07164756,-0.06944487,0.9946825,0.1013485,-0.4331263,0.4431114,-0.001795275,0.01777842,0.1182012,0.9928289,0.005097032,0.04360187,-0.05379963,0.1212682,-0.6542516,0.7464911,0.5163984,3.981307,3.670888
1882,-0.1219166,-0.4308742,0.181057,-0.02469941,-0.06978687,-0.06895597,0.9948692,0.1077055,-0.430428,0.4418755,-0.006393549,0.0231545,0.1153711,0.993032,0.005079359,0.04358888,-0.05393124,0.1275297,-0.6474079,0.7513981,0.5682153,4.452712,3.682231
1904,-0.1210333,-0.4314443,0.1811581,-0.02393712,-0.0685,-0.06900182,0.9949741,0.1114415,-0.4291027,0.4412031,-0.007016848,0.02563373,0.1162871,0.99286,0.005265206,0.04359567,-0.05405712,0.1363167,-0.639264,0.7568086,2,0,3.692983
